
# Development Desktop 2.0 Beta
# Data Export for Sensor : BHI160
# Start: 2022-11-16 오후 4:25:17
SensorTime(WakeUp),SensorTime(NonWakeUp),Accel(NonWakeUp) - X axis - M/s2,Accel(NonWakeUp) - Y axis - M/s2,Accel(NonWakeUp) - Z axis - M/s2,Mag(NonWakeUp) - X axis - uT,Mag(NonWakeUp) - Y axis - uT,Mag(NonWakeUp) - Z axis - uT,Gyro(NonWakeUp) - X axis - deg/sec,Gyro(NonWakeUp) - Y axis - deg/sec,Gyro(NonWakeUp) - Z axis - deg/sec,MetaEvents (NonWakeUp) - Name,MetaEvents (NonWakeUp) - Byte 1,MetaEvents (NonWakeUp) - Byte 2,MetaEvents (WakeUp) - Name,MetaEvents (WakeUp) - Byte 1,MetaEvents (WakeUp) - Byte 2,
*,419.05696875,0.5770,-0.2071,9.9386,*,*,*,0.0000,0.0000,0.0000,*,*,*,*,*,*,
*,486.67225000,2.2566,-5.6361,9.3963,*,*,*,16.9375,4.6875,7.7500,*,*,*,*,*,*,
*,486.69218750,0.7829,-3.5603,9.0109,-11.5385,-5.3846,-14.5385,2.1250,-6.2500,7.0000,*,*,*,*,*,*,
*,486.71212500,2.3967,-4.3995,9.6154,*,*,*,-1.5000,-67.7500,-8.3125,*,*,*,*,*,*,
*,486.73206250,1.7562,-4.4366,5.3560,-10.9231,-5.0769,-14.2308,-24.5000,-9.2500,0.4375,*,*,*,*,*,*,
*,486.75196875,0.3364,-4.4067,7.2331,*,*,*,27.1250,43.0625,9.1875,*,*,*,*,*,*,
*,486.77190625,1.4078,-3.0419,7.8496,-10.9231,-5.3846,-14.2308,45.5000,53.4375,-10.6875,*,*,*,*,*,*,
*,486.79184375,4.6042,-3.3723,8.4446,*,*,*,67.8750,67.8125,-19.1875,*,*,*,*,*,*,
*,486.81175000,1.3324,-1.8723,11.3453,-10.9231,-6.0000,-13.9231,96.9375,130.5000,20.6875,*,*,*,*,*,*,
*,486.83168750,4.7083,-2.5822,10.7323,*,*,*,41.6875,77.8750,-3.6875,*,*,*,*,*,*,
*,486.85162500,4.8520,-2.9198,10.4750,-10.0000,-6.0000,-14.2308,26.5625,33.7500,19.8750,*,*,*,*,*,*,
*,486.87153125,3.3185,-1.6209,10.0440,*,*,*,31.3125,16.3125,42.1250,*,*,*,*,*,*,
*,486.89146875,-0.6213,-2.2566,8.6792,-9.0769,-6.9231,-15.1538,20.9375,0.5625,10.8750,*,*,*,*,*,*,
*,486.91137500,1.5359,-2.3943,9.2395,*,*,*,25.9375,31.1250,-3.9375,*,*,*,*,*,*,
*,486.93131250,3.2802,-2.2758,9.8393,-10.0000,-7.8462,-14.2308,9.0625,48.2500,14.3750,*,*,*,*,*,*,
*,486.95125000,2.9761,-1.1660,9.0599,*,*,*,-16.5000,10.1875,19.0000,*,*,*,*,*,*,
*,486.97115625,1.2510,-1.5072,9.8740,-9.0769,-7.8462,-14.8462,-18.9375,-17.8125,20.1875,*,*,*,*,*,*,
*,486.99109375,1.1265,-1.6712,8.9989,*,*,*,-71.8750,-49.6250,7.6250,*,*,*,*,*,*,
*,487.01100000,0.7410,-4.3492,10.7886,-8.1538,-7.8462,-14.2308,-94.6875,-22.0000,13.5625,*,*,*,*,*,*,
*,487.03093750,3.2227,-4.8233,10.7694,*,*,*,-83.3125,7.3125,19.9375,*,*,*,*,*,*,
*,487.05087500,1.4904,-1.2414,9.9590,-9.3846,-7.2308,-14.5385,-27.6250,24.5000,15.7500,*,*,*,*,*,*,
*,487.07078125,-0.3232,-2.7762,9.6310,*,*,*,-49.3125,46.4375,9.0000,*,*,*,*,*,*,
*,487.09071875,-0.1305,-3.3544,9.2634,-9.6923,-6.0000,-15.7692,-78.6250,52.7500,-5.4375,*,*,*,*,*,*,
*,487.11065625,1.4162,-2.5260,9.4598,*,*,*,-42.2500,26.0625,-23.5625,*,*,*,*,*,*,
*,487.13056250,1.8041,-3.3041,8.6278,-8.4615,-6.0000,-15.1538,-42.0000,-0.9375,-19.8125,*,*,*,*,*,*,
*,487.15050000,3.8620,-3.1377,8.7786,*,*,*,-30.7500,-2.7500,-18.1250,*,*,*,*,*,*,
*,487.17043750,0.6692,-2.4170,8.8660,-8.1538,-5.3846,-15.7692,9.6875,-35.2500,-14.7500,*,*,*,*,*,*,
*,487.19034375,0.2406,-3.1604,8.8696,*,*,*,3.2500,-39.2500,-18.3750,*,*,*,*,*,*,
*,487.21028125,2.9138,-4.2690,9.6058,-8.1538,-4.4615,-15.7692,-7.1250,-50.6875,-4.8750,*,*,*,*,*,*,
*,487.23021875,2.8384,-4.7083,7.1517,*,*,*,31.5625,-44.0625,-57.7500,*,*,*,*,*,*,
*,487.25012500,4.0834,-3.4825,9.1737,-8.7692,-5.0769,-15.7692,65.9375,-26.9375,-56.9375,*,*,*,*,*,*,
*,487.27006250,2.5547,-1.3647,8.8816,*,*,*,20.0000,-1.5625,-49.8750,*,*,*,*,*,*,
*,487.28996875,3.1473,-0.5567,9.2874,-9.3846,-5.0769,-15.7692,2.1250,-9.5000,-33.4375,*,*,*,*,*,*,
*,487.30990625,2.6756,-2.0303,8.8325,*,*,*,1.3750,-28.1250,1.6875,*,*,*,*,*,*,
*,487.32984375,2.7642,-3.2849,8.4709,-9.0769,-6.3077,-15.1538,2.7500,-24.2500,-3.3125,*,*,*,*,*,*,
*,487.34975000,2.9940,-2.8995,8.8397,*,*,*,21.8750,-22.3750,-10.3750,*,*,*,*,*,*,
*,487.36968750,2.7115,-2.4613,9.0899,-8.4615,-5.6923,-15.1538,22.0000,-15.4375,-14.1875,*,*,*,*,*,*,
*,487.38959375,2.5164,-2.6469,9.1593,*,*,*,1.4375,0.0000,-20.8750,*,*,*,*,*,*,
*,487.40953125,2.0651,-2.9821,9.2658,-9.0769,-6.3077,-14.8462,7.5625,1.4375,-37.1250,*,*,*,*,*,*,
*,487.42943750,3.0814,-1.5946,10.0069,*,*,*,16.9375,1.5625,-43.3125,*,*,*,*,*,*,
*,487.44937500,3.4047,-1.2450,9.9362,-8.7692,-6.3077,-15.1538,17.8125,-0.3125,-17.0000,*,*,*,*,*,*,
*,487.46931250,3.7207,-1.3288,10.3002,*,*,*,36.4375,-15.5625,5.9375,*,*,*,*,*,*,
*,487.48921875,1.9741,-1.9753,9.5400,-9.6923,-6.0000,-15.7692,27.5625,-17.9375,14.8125,*,*,*,*,*,*,
*,487.50915625,2.8264,-1.7311,9.5879,*,*,*,24.6250,-24.0000,2.8125,*,*,*,*,*,*,
*,487.52906250,3.9709,-2.1513,9.6106,-8.7692,-7.5385,-14.5385,30.4375,-29.8125,6.8125,*,*,*,*,*,*,
*,487.54896875,4.7251,-1.7706,9.5472,*,*,*,24.0625,-23.5000,16.3750,*,*,*,*,*,*,
*,487.56890625,3.7542,-2.0519,9.1629,-8.7692,-7.2308,-14.5385,7.9375,-9.1250,14.1250,*,*,*,*,*,*,
*,487.58881250,2.9102,-1.9657,8.9546,*,*,*,4.5000,-9.1875,1.6875,*,*,*,*,*,*,
*,487.60875000,3.9122,-2.4146,8.7355,-9.6923,-7.8462,-14.5385,14.0000,-19.8125,-11.8750,*,*,*,*,*,*,
*,487.62868750,4.3169,-2.9007,8.6972,*,*,*,29.6875,-13.0625,-27.0625,*,*,*,*,*,*,
*,487.64859375,4.5695,-0.6896,9.5376,-9.3846,-7.5385,-14.5385,46.0625,-0.5625,-30.9375,*,*,*,*,*,*,
*,487.66853125,3.2035,0.7602,10.5312,*,*,*,43.2500,-1.1250,-16.5625,*,*,*,*,*,*,
*,487.68843750,3.6980,0.4896,9.9710,-9.6923,-8.1538,-14.2308,11.1250,1.6250,-23.1250,*,*,*,*,*,*,
*,487.70837500,4.1445,-0.8224,9.5232,*,*,*,-25.8125,22.0625,-36.2500,*,*,*,*,*,*,
*,487.72828125,5.3117,-0.5866,9.4370,-10.3077,-8.1538,-13.9231,-34.5625,39.3125,-42.3125,*,*,*,*,*,*,
*,487.74821875,4.5372,-0.1927,9.3820,*,*,*,-36.2500,44.0000,-45.1875,*,*,*,*,*,*,
*,487.76815625,3.2933,-0.1903,10.4917,-9.6923,-7.8462,-13.6154,-42.2500,78.7500,-89.7500,*,*,*,*,*,*,
*,487.78806250,2.0028,-0.2849,10.3696,*,*,*,-42.9375,76.3125,-38.3750,*,*,*,*,*,*,
*,487.80800000,1.0666,-0.5615,9.7902,-9.6923,-9.3846,-14.5385,-31.4375,64.9375,-35.6250,*,*,*,*,*,*,
*,487.82790625,1.3671,-0.7506,10.3097,*,*,*,-1.6250,46.4375,-37.6250,*,*,*,*,*,*,
*,487.84784375,2.6086,-1.0762,9.8919,-8.1538,-9.6923,-15.7692,17.8750,17.5000,-4.1875,*,*,*,*,*,*,
*,487.86775000,1.7155,-0.8045,9.2036,*,*,*,28.1875,8.9375,-0.5625,*,*,*,*,*,*,
*,487.88765625,2.3201,-1.3097,9.0073,-8.4615,-8.7692,-14.8462,34.0625,-3.2500,-2.5625,*,*,*,*,*,*,
*,487.90759375,1.8496,-0.4513,8.8612,*,*,*,38.7500,-8.7500,-10.7500,*,*,*,*,*,*,
*,487.92750000,4.3827,-0.7111,10.3504,-7.2308,-8.1538,-15.1538,56.6250,14.1875,-39.5625,*,*,*,*,*,*,
*,487.94743750,2.1967,0.3508,9.5735,*,*,*,60.3125,18.9375,-36.7500,*,*,*,*,*,*,
*,487.96734375,2.5619,-0.1341,9.4945,-7.8462,-8.7692,-15.7692,35.5000,-2.2500,-16.8750,*,*,*,*,*,*,
*,487.98728125,3.4490,-0.1808,9.7459,*,*,*,30.3125,-10.4375,-4.3125,*,*,*,*,*,*,
*,488.00718750,3.2347,2.3320,9.5927,-7.2308,-10.6154,-15.1538,30.5625,-7.6875,-12.1875,*,*,*,*,*,*,
*,488.02709375,3.3089,-1.1169,9.8991,*,*,*,2.3125,-0.6250,-41.6875,*,*,*,*,*,*,
*,488.04703125,2.7103,-0.1832,9.5747,-7.2308,-10.9231,-14.2308,-13.5000,16.5000,-24.1875,*,*,*,*,*,*,
*,488.06696875,2.7474,-0.5998,9.9482,*,*,*,-7.0000,14.2500,-33.8750,*,*,*,*,*,*,
*,488.08687500,1.7538,-0.3807,9.5520,-6.6154,-11.2308,-14.8462,-8.0000,16.7500,-17.3750,*,*,*,*,*,*,
*,488.10681250,1.9166,-0.4250,9.3880,*,*,*,-4.0000,10.5625,-14.7500,*,*,*,*,*,*,
*,488.12671875,2.3763,-0.5926,9.4921,-6.6154,-10.9231,-15.1538,-2.6875,8.5000,-13.8125,*,*,*,*,*,*,
*,488.14665625,2.2638,-0.3711,9.6789,*,*,*,8.5000,13.3125,-21.6875,*,*,*,*,*,*,
*,488.16656250,2.3847,0.7626,9.9626,-6.6154,-10.9231,-14.5385,18.9375,10.5000,-24.8125,*,*,*,*,*,*,
*,488.18650000,2.1321,0.7745,10.1721,*,*,*,3.5625,12.1250,-27.6250,*,*,*,*,*,*,
*,488.20643750,2.1225,0.4022,10.1529,-5.3846,-9.6923,-14.8462,-5.3750,18.3750,-29.2500,*,*,*,*,*,*,
*,488.22634375,1.4402,0.6560,10.6485,*,*,*,-0.5000,14.8750,-20.3750,*,*,*,*,*,*,
*,488.24628125,2.0268,0.6010,10.1158,-6.0000,-11.5385,-14.8462,4.7500,3.9375,3.8125,*,*,*,*,*,*,
*,488.26618750,2.4972,-0.3448,9.6154,*,*,*,0.0000,2.0625,11.3125,*,*,*,*,*,*,
*,488.28612500,2.3883,-0.2741,9.5101,-5.3846,-11.5385,-14.5385,1.8750,8.5625,-0.3125,*,*,*,*,*,*,
*,488.30603125,1.9645,-0.3484,9.5244,*,*,*,5.6875,19.1875,-17.4375,*,*,*,*,*,*,
*,488.32596875,1.7454,-0.3532,9.4813,-5.3846,-11.2308,-14.8462,5.8750,22.1250,-25.0000,*,*,*,*,*,*,
*,488.34587500,1.6473,-0.1796,9.4825,*,*,*,2.6875,18.9375,-18.0625,*,*,*,*,*,*,
*,488.36581250,1.6185,-0.2897,9.4562,-4.1538,-11.2308,-14.5385,3.1250,14.3750,-9.1250,*,*,*,*,*,*,
*,488.38571875,1.5551,-0.1353,9.4442,*,*,*,4.5625,11.1875,-2.1875,*,*,*,*,*,*,
*,488.40565625,1.5790,0.1269,9.5268,-4.1538,-11.8462,-14.2308,4.3750,8.1875,3.6250,*,*,*,*,*,*,
*,488.42559375,1.6700,0.0215,9.4322,*,*,*,1.6250,6.1250,2.3750,*,*,*,*,*,*,
*,488.44550000,2.0627,-0.1951,9.5065,-4.1538,-11.2308,-14.5385,1.5625,9.7500,-0.8750,*,*,*,*,*,*,
*,488.46543750,1.7490,0.1520,9.7339,*,*,*,8.5625,14.0625,-4.1250,*,*,*,*,*,*,
*,488.48537500,1.4856,0.7554,10.0057,-4.1538,-11.5385,-14.5385,9.0625,11.2500,0.7500,*,*,*,*,*,*,
*,488.50528125,1.5431,0.4441,9.8812,*,*,*,1.1250,4.3750,4.1875,*,*,*,*,*,*,
*,488.52521875,1.6820,-0.1963,9.8093,-4.7692,-11.5385,-14.5385,0.2500,3.5625,4.0625,*,*,*,*,*,*,
*,488.54515625,1.5563,-0.1903,9.8093,*,*,*,8.3125,6.3750,-3.5000,*,*,*,*,*,*,
*,488.56506250,1.4701,0.1736,9.8369,-4.4615,-11.8462,-14.8462,10.3750,7.2500,-10.1250,*,*,*,*,*,*,
*,488.58500000,1.5754,0.4573,10.0631,*,*,*,6.5000,6.3125,-7.9375,*,*,*,*,*,*,
*,488.60490625,1.6125,0.2658,10.0164,-4.4615,-11.5385,-14.2308,2.0000,5.6875,-2.0625,*,*,*,*,*,*,
*,488.62484375,1.3109,-0.0227,10.0164,*,*,*,0.0000,4.1250,-0.4375,*,*,*,*,*,*,
*,488.64478125,1.4150,-0.2119,9.9063,-3.2308,-12.4615,-15.1538,2.3750,3.9375,-2.5000,*,*,*,*,*,*,
*,488.66468750,1.2055,0.0922,10.0164,*,*,*,2.6875,6.1250,-7.1250,*,*,*,*,*,*,
*,488.68462500,0.9900,0.7027,10.3361,-2.9231,-11.8462,-14.2308,0.6875,0.1875,-1.5625,*,*,*,*,*,*,
*,488.70453125,1.3719,0.1389,9.9853,*,*,*,-5.6875,-4.5625,4.3750,*,*,*,*,*,*,
*,488.72446875,1.4916,-0.2574,9.8800,-4.1538,-11.5385,-13.9231,-3.8125,-2.6250,6.1250,*,*,*,*,*,*,
*,488.74440625,1.3791,0.0491,9.8872,*,*,*,-0.7500,-0.0625,3.1875,*,*,*,*,*,*,
*,488.76431250,1.3204,0.0539,9.9015,-2.9231,-11.8462,-14.2308,0.2500,0.8750,1.1875,*,*,*,*,*,*,
*,488.78425000,1.3815,0.3424,9.9650,*,*,*,3.9375,2.3750,-0.9375,*,*,*,*,*,*,
*,488.80418750,1.1971,0.5483,10.0715,-2.9231,-11.2308,-15.1538,1.9375,0.6875,1.1875,*,*,*,*,*,*,
*,488.82409375,1.3492,0.4058,9.8896,*,*,*,-1.1875,-2.8750,4.3125,*,*,*,*,*,*,
*,488.84403125,1.5934,0.1365,9.7459,-2.9231,-11.5385,-14.5385,-1.7500,-0.5625,5.3750,*,*,*,*,*,*,
*,488.86393750,1.1935,0.1856,9.7028,*,*,*,1.7500,4.3750,0.1875,*,*,*,*,*,*,
*,488.88387500,1.0714,0.5519,9.8620,-3.5385,-11.5385,-14.8462,-0.2500,3.6875,-1.8750,*,*,*,*,*,*,
*,488.90381250,1.1397,0.4118,9.8548,*,*,*,-1.8750,-0.1875,2.1875,*,*,*,*,*,*,
*,488.92371875,1.3432,0.2035,9.6932,-2.6154,-10.9231,-15.1538,2.0625,0.5625,3.3125,*,*,*,*,*,*,
*,488.94365625,1.2785,0.4513,9.7734,*,*,*,3.4375,3.1250,0.7500,*,*,*,*,*,*,
*,488.96356250,1.0128,0.5579,9.9757,-2.6154,-10.9231,-15.1538,2.8750,2.9375,0.5000,*,*,*,*,*,*,
*,488.98350000,1.2390,0.3412,9.8189,*,*,*,0.0625,-0.5000,1.5000,*,*,*,*,*,*,
*,489.00340625,1.3240,0.1676,9.8117,-4.1538,-11.8462,-14.8462,0.7500,0.8750,-0.0625,*,*,*,*,*,*,
*,489.02334375,1.3276,0.2442,9.7902,*,*,*,2.2500,2.9375,-2.7500,*,*,*,*,*,*,
*,489.04328125,1.1121,0.3460,9.9422,-3.2308,-12.4615,-14.5385,0.1250,4.3125,-6.7500,*,*,*,*,*,*,
*,489.06318750,1.0547,0.5064,10.1038,*,*,*,0.1250,0.0625,-2.3125,*,*,*,*,*,*,
*,489.08312500,1.3827,0.3160,9.9410,-3.2308,-11.8462,-14.8462,-0.8125,-4.1250,4.7500,*,*,*,*,*,*,
